time,open,high,low,close,tick_volume,spread,real_volume
2025-02-04 16:00:00,2831.86,2841.38,2829.07,2839.62,6066,5,0
2025-02-04 17:00:00,2840.83,2845.49,2833.77,2835.86,6198,5,0
2025-02-04 18:00:00,2835.67,2842.42,2832.45,2840.46,5524,5,0
2025-02-04 19:00:00,2840.45,2844.68,2839.45,2843.98,4801,5,0
2025-02-04 20:00:00,2843.87,2845.0,2842.54,2842.65,4204,5,0
2025-02-04 21:00:00,2842.64,2844.23,2842.03,2843.02,3963,5,0
2025-02-04 22:00:00,2843.13,2844.94,2840.92,2844.13,3617,5,0
2025-02-04 23:00:00,2844.22,2844.59,2840.71,2842.01,1274,5,0
2025-02-05 01:00:00,2842.67,2842.74,2840.38,2841.22,1243,5,0
2025-02-05 02:00:00,2841.26,2848.28,2840.71,2845.33,2515,5,0
2025-02-05 03:00:00,2845.39,2849.01,2839.67,2844.46,5363,5,0
2025-02-05 04:00:00,2844.46,2853.8,2844.01,2850.7,3980,5,0
2025-02-05 05:00:00,2851.21,2854.3,2849.78,2852.43,3078,5,0
2025-02-05 06:00:00,2852.37,2858.04,2851.84,2855.19,2522,5,0
2025-02-05 07:00:00,2855.36,2860.62,2853.49,2859.33,2870,5,0
2025-02-05 08:00:00,2859.35,2861.87,2856.92,2859.1,3160,5,0
2025-02-05 09:00:00,2858.95,2864.25,2854.86,2864.21,4192,5,0
2025-02-05 10:00:00,2864.15,2869.72,2863.58,2867.5,4439,5,0
2025-02-05 11:00:00,2867.43,2872.17,2865.49,2870.34,3921,5,0
2025-02-05 12:00:00,2870.52,2877.17,2866.23,2867.84,4134,5,0
2025-02-05 13:00:00,2867.86,2870.49,2864.74,2868.33,4160,5,0
2025-02-05 14:00:00,2868.54,2870.87,2866.94,2870.35,3814,5,0
2025-02-05 15:00:00,2870.31,2870.71,2858.73,2861.63,5577,5,0
2025-02-05 16:00:00,2861.82,2872.61,2860.68,2870.48,5788,5,0
2025-02-05 17:00:00,2874.25,2882.49,2871.49,2880.22,6034,5,0
2025-02-05 18:00:00,2880.25,2881.29,2863.06,2874.87,5691,5,0
2025-02-05 19:00:00,2875.17,2876.74,2871.41,2872.95,4396,5,0
2025-02-05 20:00:00,2872.97,2873.59,2863.68,2865.62,4333,5,0
2025-02-05 21:00:00,2865.65,2869.0,2862.72,2863.57,4240,5,0
